copy_no,dilution,date_qPCR,qPCR_no,target,use,extract,notes,sample
NA,10,7/27/22,COHO-004A,coho,1,1,NA,0521.4Pad.Dn.1
NA,10,7/27/22,COHO-004A,coho,1,1,NA,0521.4Pad.Dn.2
NA,2,7/27/22,COHO-004A,coho,1,1,12:12 dilution,0521.4Pad.Dn.3
NA,1,7/27/22,COHO-004A,coho,1,1,NA,0521.4Pad.Up11.1
NA,1,7/27/22,COHO-004A,coho,0,1,incorrect sample 0521.Pad.Up11.3 pipetted here - the correct sample 0321.Pad.Up5.1 slotted in at end wells G10-12; 0521.Pad.Up.11.3 still usable...,0521.Pad.Up11.3
NA,1,7/27/22,COHO-004A,coho,1,NA,NA,NTC
1.00E+05,NA,7/27/22,COHO-004A,coho,0,NA,use SC from COHO-005A or COHO-009,St1
10000,NA,7/27/22,COHO-004A,coho,0,NA,use SC from COHO-005A or COHO-009,St2
1000,NA,7/27/22,COHO-004A,coho,0,NA,use SC from COHO-005A or COHO-009,St3
100,NA,7/27/22,COHO-004A,coho,0,NA,use SC from COHO-005A or COHO-009,St4
10,NA,7/27/22,COHO-004A,coho,0,NA,use SC from COHO-005A or COHO-009,St5
5,NA,7/27/22,COHO-004A,coho,0,NA,use SC from COHO-005A or COHO-009,St6
3,NA,7/27/22,COHO-004A,coho,0,NA,use SC from COHO-005A or COHO-009,St7
1,NA,7/27/22,COHO-004A,coho,0,NA,use SC from COHO-005A or COHO-009,St8
NA,1,7/27/22,COHO-005,coho,0,1,NA,0222 EB
NA,1,7/27/22,COHO-005,coho,0,1,NA,0521.4Pad.Up5.2
NA,1,7/27/22,COHO-005,coho,0,1,NA,0621.4Pad.Dn.1
NA,1,7/27/22,COHO-005,coho,0,1,NA,0621.4Pad.Dn.2
NA,1,7/27/22,COHO-005,coho,0,1,NA,0621.4Pad.Dn.3
NA,1,7/27/22,COHO-005,coho,0,1,NA,0621.4Pad.Up11.1
NA,1,7/27/22,COHO-005,coho,0,1,NA,0621.4Pad.Up11.2
NA,1,7/27/22,COHO-005,coho,0,1,NA,0621.4Pad.Up11.3
NA,1,7/27/22,COHO-005,coho,0,1,NA,0721.4Pad.Dn.1
NA,1,7/27/22,COHO-005,coho,0,1,NA,0721.4Pad.Dn.3
NA,1,7/27/22,COHO-005,coho,0,2,NA,0721.4Pad.Up11.1
NA,1,7/27/22,COHO-005,coho,0,2,NA,0721.4Pad.Up11.2
NA,1,7/27/22,COHO-005,coho,0,2,NA,0721.4Pad.Up11.3
NA,1,7/27/22,COHO-005,coho,0,2,NA,0721.4Pad.Up5.1
NA,1,7/27/22,COHO-005,coho,0,2,NA,0721.4Pad.Up5.3
NA,1,7/27/22,COHO-005,coho,0,1,NA,0821.4Pad.Dn.1
NA,1,7/27/22,COHO-005,coho,0,1,NA,0821.4Pad.Up11.1
NA,1,7/27/22,COHO-005,coho,0,1,NA,0821.4Pad.Up11.2
NA,1,7/27/22,COHO-005,coho,0,1,NA,0821.4Pad.Up5.1
NA,1,7/27/22,COHO-005,coho,0,1,NA,0821.4Pad.Up5.2
NA,1,7/27/22,COHO-005,coho,0,1,NA,0821.4Pad.Up5.3
NA,1,7/27/22,COHO-005,coho,0,2,NA,0921.4Pad.Dn.1
NA,1,7/27/22,COHO-005,coho,0,2,NA,0921.4Pad.Dn.2
NA,1,7/27/22,COHO-005,coho,0,1,NA,NTC
1.00E+05,NA,7/27/22,COHO-005,coho,0,NA,NA,St1
10000,NA,7/27/22,COHO-005,coho,0,NA,NA,St2
1000,NA,7/27/22,COHO-005,coho,0,NA,NA,St3
100,NA,7/27/22,COHO-005,coho,0,NA,NA,St4
10,NA,7/27/22,COHO-005,coho,0,NA,NA,St5
5,NA,7/27/22,COHO-005,coho,0,NA,NA,St6
3,NA,7/27/22,COHO-005,coho,0,NA,NA,St7
1,NA,7/27/22,COHO-005,coho,0,NA,NA,St8
NA,1,7/27/22,COHO-005A,coho,1,1,NA,0222 EB
NA,2,7/27/22,COHO-005A,coho,1,1,12:12 dilution,0521.4Pad.Up5.2
NA,1,7/27/22,COHO-005A,coho,1,1,NA,0621.4Pad.Dn.1
NA,1,7/27/22,COHO-005A,coho,1,1,NA,0621.4Pad.Dn.2
NA,1,7/27/22,COHO-005A,coho,1,1,NA,0621.4Pad.Dn.3
NA,1,7/27/22,COHO-005A,coho,1,1,NA,0621.4Pad.Up11.1
NA,1,7/27/22,COHO-005A,coho,1,1,NA,0621.4Pad.Up11.2
NA,1,7/27/22,COHO-005A,coho,0,1,NA,0621.4Pad.Up11.3
NA,1,7/27/22,COHO-005A,coho,1,1,NA,0721.4Pad.Dn.1
NA,1,7/27/22,COHO-005A,coho,1,1,NA,0721.4Pad.Dn.3
NA,1,7/27/22,COHO-005A,coho,1,2,NA,0721.4Pad.Up11.1
NA,1,7/27/22,COHO-005A,coho,1,2,NA,0721.4Pad.Up11.2
NA,1,7/27/22,COHO-005A,coho,1,2,NA,0721.4Pad.Up11.3
NA,1,7/27/22,COHO-005A,coho,1,2,NA,0721.4Pad.Up5.1
NA,1,7/27/22,COHO-005A,coho,1,2,NA,0721.4Pad.Up5.3
NA,1,7/27/22,COHO-005A,coho,1,1,NA,0821.4Pad.Dn.1
NA,1,7/27/22,COHO-005A,coho,1,1,NA,0821.4Pad.Up11.1
NA,1,7/27/22,COHO-005A,coho,1,1,NA,0821.4Pad.Up11.2
NA,1,7/27/22,COHO-005A,coho,1,1,NA,0821.4Pad.Up5.1
NA,1,7/27/22,COHO-005A,coho,1,1,NA,0821.4Pad.Up5.2
NA,1,7/27/22,COHO-005A,coho,1,1,NA,0821.4Pad.Up5.3
NA,1,7/27/22,COHO-005A,coho,1,2,NA,0921.4Pad.Dn.1
NA,1,7/27/22,COHO-005A,coho,1,2,NA,0921.4Pad.Dn.2
NA,1,7/27/22,COHO-005A,coho,1,1,NA,NTC
1.00E+05,NA,7/27/22,COHO-005A,coho,1,NA,NA,St1
10000,NA,7/27/22,COHO-005A,coho,1,NA,NA,St2
1000,NA,7/27/22,COHO-005A,coho,1,NA,NA,St3
100,NA,7/27/22,COHO-005A,coho,1,NA,NA,St4
10,NA,7/27/22,COHO-005A,coho,1,NA,NA,St5
5,NA,7/27/22,COHO-005A,coho,1,NA,NA,St6
3,NA,7/27/22,COHO-005A,coho,1,NA,NA,St7
1,NA,7/27/22,COHO-005A,coho,1,NA,NA,St8
NA,1,7/22/22,COHO-006,coho,0,1,NA,0122.4Pad.Dn.1
NA,1,7/22/22,COHO-006,coho,1,1,NA,0122.4Pad.Up11.1
NA,1,7/22/22,COHO-006,coho,1,1,NA,0222.4Pad.Dn.1
NA,1,7/22/22,COHO-006,coho,1,1,NA,0222.4Pad.Dn.2
NA,1,7/22/22,COHO-006,coho,1,1,NA,0921.4Pad.Dn.3
NA,1,7/22/22,COHO-006,coho,1,1,NA,0921.4Pad.Up11.2
NA,1,7/22/22,COHO-006,coho,1,1,NA,0921.4Pad.Up5.1
NA,1,7/22/22,COHO-006,coho,1,1,NA,0921.4Pad.Up5.2
