copy_no,dilution,date_qPCR,qPCR_no,target,use,extract,notes,sample
NA,100,NA,COHO-099,coho,1,NA,NA,PrtDn_1_07220
NA,100,NA,COHO-099,coho,1,NA,NA,PrtDn_1_0822_100
NA,100,NA,COHO-099,coho,1,NA,NA,PrtDn_1_0822_100
NA,10,NA,COHO-099,coho,1,NA,NA,PrtDn_1_1222_10
NA,10,NA,COHO-099,coho,1,NA,NA,PrtDn_1_1222_10
NA,100,NA,COHO-099,coho,1,NA,NA,PrtDn_2_0722_100
NA,100,NA,COHO-099,coho,1,NA,NA,PrtDn_2_0722_100
NA,100,NA,COHO-099,coho,1,NA,NA,PrtDn_2_0822_100
NA,100,NA,COHO-099,coho,1,NA,NA,PrtDn_2_0822_100
NA,1,NA,COHO-099,coho,1,NA,NA,PrtDn_2_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,PrtDn_2_1222_1
NA,100,NA,COHO-099,coho,1,NA,NA,PrtDn_3_0722_100
NA,100,NA,COHO-099,coho,1,NA,NA,PrtDn_3_0722_100
NA,100,NA,COHO-099,coho,1,NA,NA,PrtDn_3_0822_100
NA,100,NA,COHO-099,coho,1,NA,NA,PrtDn_3_0822_100
NA,1,NA,COHO-099,coho,1,NA,NA,PrtDn_3_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,PrtDn_3_1222_1
NA,10,NA,COHO-099,coho,1,NA,NA,PrtUp_1_0722_10
NA,10,NA,COHO-099,coho,1,NA,NA,PrtUp_1_0722_10
NA,100,NA,COHO-099,coho,1,NA,NA,PrtUp_1_0822_100
NA,100,NA,COHO-099,coho,1,NA,NA,PrtUp_1_0822_100
NA,10,NA,COHO-099,coho,1,NA,NA,PrtUp_1_1222_10
NA,10,NA,COHO-099,coho,1,NA,NA,PrtUp_1_1222_10
NA,10,NA,COHO-099,coho,1,NA,NA,PrtUp_2_0722_10
NA,10,NA,COHO-099,coho,1,NA,NA,PrtUp_2_0822_10
NA,10,NA,COHO-099,coho,1,NA,NA,PrtUp_2_1222_10
NA,10,NA,COHO-099,coho,1,NA,NA,PrtUp_2_1222_10
NA,10,NA,COHO-099,coho,1,NA,NA,PrtUp_3_0722_10
NA,10,NA,COHO-099,coho,1,NA,NA,PrtUp_3_0822_10
NA,1,NA,COHO-099,coho,1,NA,NA,PrtUp_3_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,PrtUp_3_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_1_0722_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_1_0722_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_1_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_1_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_1_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_1_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_2_0722_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_2_0722_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_2_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_2_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_2_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_2_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_3_0722_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_3_0722_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_3_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_3_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_3_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmDn_3_1222_1
NA,10,NA,COHO-099,coho,1,NA,NA,SqmUp_1_0722_10
NA,10,NA,COHO-099,coho,1,NA,NA,SqmUp_1_0722_10
NA,10,NA,COHO-099,coho,1,NA,NA,SqmUp_1_0822_10
NA,10,NA,COHO-099,coho,1,NA,NA,SqmUp_1_0822_10
NA,1,NA,COHO-099,coho,1,NA,NA,SqmUp_1_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmUp_1_1222_1
NA,10,NA,COHO-099,coho,1,NA,NA,SqmUp_2_0722_10
NA,10,NA,COHO-099,coho,1,NA,NA,SqmUp_2_0722_10
NA,1,NA,COHO-099,coho,1,NA,NA,SqmUp_2_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmUp_2_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmUp_2_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmUp_3_0722_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmUp_3_0722-1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmUp_3_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmUp_3_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,SqmUp_3_1222_1
1.00E+05,NA,NA,COHO-099,coho,1,NA,NA,St1
10000,NA,NA,COHO-099,coho,1,NA,NA,St2
1000,NA,NA,COHO-099,coho,1,NA,NA,St3
100,NA,NA,COHO-099,coho,1,NA,NA,St4
10,NA,NA,COHO-099,coho,1,NA,NA,St5
5,NA,NA,COHO-099,coho,1,NA,NA,St6
3,NA,NA,COHO-099,coho,1,NA,NA,St7
1,NA,NA,COHO-099,coho,1,NA,NA,St8
NA,100,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.1Prt.Dn.1
NA,100,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.1Prt.Dn.2
NA,100,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.1Prt.Dn.3
NA,100,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.1Prt.Up.1
NA,100,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.1Prt.Up.2
NA,100,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.1Prt.Up.3
NA,1,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.2Brn.Dn.1
NA,1,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.2Brn.Dn.2
NA,1,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.2Brn.Dn.3
NA,1,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.2Brn.Up.1
NA,1,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.2Brn.Up.2
NA,1,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.2Brn.Up.3
NA,10,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.3Chk.Dn.1
NA,1,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.3Chk.Dn.2
NA,10,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.3Chk.Dn.3
NA,10,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.3Chk.Up.1
NA,10,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.3Chk.Up.2
NA,10,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.3Chk.Up.3
NA,1,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.5Sqm.Dn.1
NA,1,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.5Sqm.Dn.2
NA,1,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.5Sqm.Dn.3
NA,1,7/12/22,CUT-IN-001,cutt,0,1,NA,0321.5Sqm.Up.1
NA,1,7/12/22,CUT-IN-001,cutt,0,NA,NA,NTC
NA,1,7/12/22,CUT-IN-001,cutt,0,NA,NA,NTC+IPC
1.00E+05,NA,7/21/22,CUT-IN-001,cutt,0,NA,NA,St1
10000,NA,7/21/22,CUT-IN-001,cutt,0,NA,NA,St2
1000,NA,7/21/22,CUT-IN-001,cutt,0,NA,NA,St3
100,NA,7/21/22,CUT-IN-001,cutt,0,NA,NA,St4
10,NA,7/21/22,CUT-IN-001,cutt,0,NA,NA,St5
5,NA,7/21/22,CUT-IN-001,cutt,0,NA,NA,St6
3,NA,7/21/22,CUT-IN-001,cutt,0,NA,NA,St7
1,NA,7/21/22,CUT-IN-001,cutt,0,NA,NA,St8
NA,100,7/12/22,CUT-IN-001A,cutt,1,1,NA,0321.1Prt.Dn.1
NA,100,7/12/22,CUT-IN-001A,cutt,1,1,NA,0321.1Prt.Dn.2
NA,100,7/12/22,CUT-IN-001A,cutt,1,1,NA,0321.1Prt.Dn.3
NA,100,7/12/22,CUT-IN-001A,cutt,0,1,use lower stddev in CUT-IN-023,0321.1Prt.Up.1
NA,100,7/12/22,CUT-IN-001A,cutt,1,1,NA,0321.1Prt.Up.2
NA,100,7/12/22,CUT-IN-001A,cutt,1,1,NA,0321.1Prt.Up.3
NA,1,7/12/22,CUT-IN-001A,cutt,1,1,NA,0321.2Brn.Dn.1
NA,1,7/12/22,CUT-IN-001A,cutt,1,1,NA,0321.2Brn.Dn.2
NA,1,7/12/22,CUT-IN-001A,cutt,1,1,NA,0321.2Brn.Dn.3
NA,1,7/12/22,CUT-IN-001A,cutt,0,1,use new dilution in CUT-IN-026,0321.2Brn.Up.1
NA,1,7/12/22,CUT-IN-001A,cutt,0,1,use new dilution in CUT-IN-028,0321.2Brn.Up.2
NA,1,7/12/22,CUT-IN-001A,cutt,0,1,use new dilution in CUT-IN-026,0321.2Brn.Up.3
NA,10,7/12/22,CUT-IN-001A,cutt,1,1,NA,0321.3Chk.Dn.1
NA,1,7/12/22,CUT-IN-001A,cutt,1,1,NA,0321.3Chk.Dn.2
NA,10,7/12/22,CUT-IN-001A,cutt,1,1,NA,0321.3Chk.Dn.3
NA,10,7/12/22,CUT-IN-001A,cutt,1,1,NA,0321.3Chk.Up.1
NA,10,7/12/22,CUT-IN-001A,cutt,0,1,use new dilution in CUT-IN-028,0321.3Chk.Up.2
NA,10,7/12/22,CUT-IN-001A,cutt,1,1,NA,0321.3Chk.Up.3
NA,1,7/12/22,CUT-IN-001A,cutt,0,1,use new dilution in CUT-IN-014,0321.5Sqm.Dn.1
NA,1,7/12/22,CUT-IN-001A,cutt,0,1,use new dilution in CUT-IN-014,0321.5Sqm.Dn.2
NA,1,7/12/22,CUT-IN-001A,cutt,0,1,use new dilution in CUT-IN-014,0321.5Sqm.Dn.3
NA,1,7/12/22,CUT-IN-001A,cutt,0,1,use new dilution in CUT-IN-014,0321.5Sqm.Up.1
NA,1,7/12/22,CUT-IN-001A,cutt,1,NA,NA,NTC
NA,1,7/12/22,CUT-IN-001A,cutt,1,NA,NA,NTC+IPC
1.00E+05,NA,7/12/22,CUT-IN-001A,cutt,1,1,NA,St1
10000,NA,7/12/22,CUT-IN-001A,cutt,1,1,NA,St2
1000,NA,7/12/22,CUT-IN-001A,cutt,1,1,NA,St3
100,NA,7/12/22,CUT-IN-001A,cutt,1,1,NA,St4
10,NA,7/12/22,CUT-IN-001A,cutt,1,1,NA,St5
5,NA,7/12/22,CUT-IN-001A,cutt,1,1,NA,St6
3,NA,7/12/22,CUT-IN-001A,cutt,1,1,NA,St7
1,NA,7/12/22,CUT-IN-001A,cutt,1,1,NA,St8
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-028,0321.5Sqm.Up.2
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-014,0321.5Sqm.Up.3
NA,100,7/12/22,CUT-IN-002,cutt,1,1,NA,0421.1Prt.Dn.1
NA,100,7/12/22,CUT-IN-002,cutt,1,1,NA,0421.1Prt.Dn.2
NA,10,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-014,0421.1Prt.Dn.3
NA,10,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-028,0421.1Prt.Up.1
NA,10,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-015A,0421.1Prt.Up.2
NA,10,7/12/22,CUT-IN-002,cutt,0,1,use lower stddev in CUT-IN-023,0421.1Prt.Up.3
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-028,0421.2Brn.Dn.1
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-028,0421.2Brn.Dn.2
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-028,0421.2Brn.Dn.3
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-028,0421.2Brn.Up.1
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-014,0421.2Brn.Up.2
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-028,0421.2Brn.Up.3
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-028,0421.3Chk.Dn.1
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-028,0421.3Chk.Dn.2
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-028,0421.3Chk.Dn.3
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-028,0421.3Chk.Up.1
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-026,0421.3Chk.Up.2
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-014,0421.3Chk.Up.3
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-014,0421.5Sqm.Dn.1
NA,1,7/12/22,CUT-IN-002,cutt,0,1,use new dilution in CUT-IN-014,0421.5Sqm.Dn.2
NA,1,7/12/22,CUT-IN-002,cutt,1,NA,NA,NTC
NA,1,7/12/22,CUT-IN-002,cutt,1,NA,NA,NTC+IPC
1.00E+05,NA,7/12/22,CUT-IN-002,cutt,1,NA,NA,St1
10000,NA,7/12/22,CUT-IN-002,cutt,1,NA,NA,St2
1000,NA,7/12/22,CUT-IN-002,cutt,1,NA,NA,St3
100,NA,7/12/22,CUT-IN-002,cutt,1,NA,NA,St4
10,NA,7/12/22,CUT-IN-002,cutt,1,NA,NA,St5
5,NA,7/12/22,CUT-IN-002,cutt,1,NA,NA,St6
3,NA,7/12/22,CUT-IN-002,cutt,1,NA,NA,St7
1,NA,7/12/22,CUT-IN-002,cutt,1,NA,NA,St8
NA,1,7/12/22,CUT-IN-003,cutt,0,1,use new dilution in CUT-IN-015A,0421.5Sqm.Dn.3
NA,1,7/12/22,CUT-IN-003,cutt,0,1,use new dilution in CUT-IN-015A,0421.5Sqm.Up.1
NA,1,7/12/22,CUT-IN-003,cutt,0,1,use new dilution in CUT-IN-015A,0421.5Sqm.Up.2
NA,1,7/12/22,CUT-IN-003,cutt,0,1,use new dilution in CUT-IN-015A,0421.5Sqm.Up.3
NA,10,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.1Prt.Dn.1
NA,10,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.1Prt.Dn.2
NA,10,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.1Prt.Dn.3
NA,10,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.1Prt.Up.1
NA,10,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.1Prt.Up.2
NA,10,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.1Prt.Up.3
NA,10,7/12/22,CUT-IN-003,cutt,0,1,use new dilution in CUT-IN-026,0521.2Brn.Dn.1
NA,1,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.2Brn.Dn.2
NA,1,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.2Brn.Dn.3
NA,10,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.2Brn.Up.1
NA,10,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.2Brn.Up.2
NA,10,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.2Brn.Up.3
NA,100,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.3Chk.Dn.1
NA,10,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.3Chk.Dn.2
NA,100,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.3Chk.Dn.3
NA,100,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.3Chk.Up.1
NA,10,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.3Chk.Up.2
NA,10,7/12/22,CUT-IN-003,cutt,1,1,NA,0521.3Chk.Up.3
NA,1,7/12/22,CUT-IN-003,cutt,1,NA,NA,NTC
NA,1,7/12/22,CUT-IN-003,cutt,1,NA,NA,NTC+IPC
1.00E+05,NA,7/12/22,CUT-IN-003,cutt,1,NA,NA,St1
10000,NA,7/12/22,CUT-IN-003,cutt,1,NA,NA,St2
1000,NA,7/12/22,CUT-IN-003,cutt,1,NA,NA,St3
100,NA,7/12/22,CUT-IN-003,cutt,1,NA,NA,St4
10,NA,7/12/22,CUT-IN-003,cutt,1,NA,NA,St5
5,NA,7/12/22,CUT-IN-003,cutt,1,NA,NA,St6
3,NA,7/12/22,CUT-IN-003,cutt,1,NA,NA,St7
1,NA,7/12/22,CUT-IN-003,cutt,1,NA,NA,St8
NA,1,7/13/22,CUT-IN-004,cutt,1,1,NA,0521.5Sqm.Dn.1
NA,1,7/13/22,CUT-IN-004,cutt,1,1,NA,0521.5Sqm.Dn.2
NA,1,7/13/22,CUT-IN-004,cutt,1,1,NA,0521.5Sqm.Dn.3
NA,1,7/13/22,CUT-IN-004,cutt,1,1,NA,0521.5Sqm.Up.1
NA,1,7/13/22,CUT-IN-004,cutt,1,1,NA,0521.5Sqm.Up.2
NA,1,7/13/22,CUT-IN-004,cutt,1,1,NA,0521.5Sqm.Up.3
NA,10,7/13/22,CUT-IN-004,cutt,1,1,NA,0621.1Prt.Dn.1
NA,10,7/13/22,CUT-IN-004,cutt,1,1,NA,0621.1Prt.Dn.2
NA,10,7/13/22,CUT-IN-004,cutt,1,1,NA,0621.1Prt.Dn.3
NA,10,7/13/22,CUT-IN-004,cutt,1,1,NA,0621.1Prt.Up.1
NA,10,7/13/22,CUT-IN-004,cutt,1,1,NA,0621.1Prt.Up.2
NA,10,7/13/22,CUT-IN-004,cutt,1,1,NA,0621.1Prt.Up.3
NA,1,7/13/22,CUT-IN-004,cutt,0,1,use new dilution in CUT-IN-015A,0621.2Brn.Dn.1
NA,1,7/13/22,CUT-IN-004,cutt,1,1,NA,0621.2Brn.Dn.2
NA,1,7/13/22,CUT-IN-004,cutt,0,1,use new dilution in CUT-IN-015A,0621.2Brn.Dn.3
NA,1,7/13/22,CUT-IN-004,cutt,0,1,use new dilution in CUT-IN-026,0621.2Brn.Up.1
NA,1,7/13/22,CUT-IN-004,cutt,0,1,use new dilution in CUT-IN-015A,0621.2Brn.Up.2
NA,1,7/13/22,CUT-IN-004,cutt,1,1,NA,0621.2Brn.Up.3
NA,1,7/13/22,CUT-IN-004,cutt,1,1,NA,0621.3Chk.Dn.1
NA,1,7/13/22,CUT-IN-004,cutt,1,1,NA,0621.3Chk.Dn.2
NA,1,7/13/22,CUT-IN-004,cutt,1,1,NA,0621.3Chk.Dn.3
NA,1,7/13/22,CUT-IN-004,cutt,1,1,NA,0621.3Chk.Up.1
NA,1,7/13/22,CUT-IN-004,cutt,1,NA,NA,NTC
NA,1,7/13/22,CUT-IN-004,cutt,1,NA,NA,NTC+IPC
1.00E+05,NA,7/13/22,CUT-IN-004,cutt,1,NA,NA,St1
10000,NA,7/13/22,CUT-IN-004,cutt,1,NA,NA,St2
1000,NA,7/13/22,CUT-IN-004,cutt,1,NA,NA,St3
100,NA,7/13/22,CUT-IN-004,cutt,1,NA,NA,St4
10,NA,7/13/22,CUT-IN-004,cutt,1,NA,NA,St5
5,NA,7/13/22,CUT-IN-004,cutt,1,NA,NA,St6
3,NA,7/13/22,CUT-IN-004,cutt,1,NA,NA,St7
1,NA,7/13/22,CUT-IN-004,cutt,1,NA,NA,St8
NA,1,7/13/22,CUT-IN-005,cutt,0,NA,use new dilution in CUT-IN-028,0621.3Chk.Up.2
NA,1,7/13/22,CUT-IN-005,cutt,0,NA,use new dilution in CUT-IN-028,0621.3Chk.Up.3
NA,10,7/13/22,CUT-IN-005,cutt,1,1,NA,0621.5Sqm.Dn.1
NA,10,7/13/22,CUT-IN-005,cutt,1,1,NA,0621.5Sqm.Dn.2
NA,10,7/13/22,CUT-IN-005,cutt,0,1,use new dilution in CUT-IN-028,0621.5Sqm.Dn.3
NA,10,7/13/22,CUT-IN-005,cutt,1,1,NA,0621.5Sqm.Up.1
NA,10,7/13/22,CUT-IN-005,cutt,0,1,use new dilution in CUT-IN-028,0621.5Sqm.Up.2
NA,10,7/13/22,CUT-IN-005,cutt,1,1,NA,0621.5Sqm.Up.3
NA,1,7/13/22,CUT-IN-005,cutt,0,1,use new dilution in CUT-IN-015A,0721.1Prt.Dn.1
NA,1,7/13/22,CUT-IN-005,cutt,0,1,use new dilution in CUT-IN-026,0721.1Prt.Dn.2
NA,1,7/13/22,CUT-IN-005,cutt,0,1,use new dilution in CUT-IN-026,0721.1Prt.Dn.3
NA,10,7/13/22,CUT-IN-005,cutt,0,1,use new dilution in CUT-IN-026,0721.1Prt.Up.1
NA,10,7/13/22,CUT-IN-005,cutt,0,1,use new dilution in CUT-IN-026,0721.1Prt.Up.2
NA,10,7/13/22,CUT-IN-005,cutt,0,1,use new dilution in CUT-IN-026,0721.1Prt.Up.3
NA,10,7/13/22,CUT-IN-005,cutt,1,1,NA,0721.2Brn.Dn.1
NA,1,7/13/22,CUT-IN-005,cutt,0,1,use new dilution in CUT-IN-026,0721.2Brn.Dn.2
NA,1,7/13/22,CUT-IN-005,cutt,0,1,use new dilution in CUT-IN-015A,0721.2Brn.Dn.3
NA,1,7/13/22,CUT-IN-005,cutt,0,1,use new dilution in CUT-IN-026,0721.2Brn.Up.1
NA,1,7/13/22,CUT-IN-005,cutt,0,1,use new dilution in CUT-IN-026,0721.2Brn.Up.2
NA,1,7/13/22,CUT-IN-005,cutt,1,1,NA,0721.2Brn.Up.3
NA,1,7/13/22,CUT-IN-005,cutt,1,1,NA,0721.3Chk.Dn.1
NA,1,7/13/22,CUT-IN-005,cutt,1,1,NA,0721.3Chk.Dn.2
NA,1,7/13/22,CUT-IN-005,cutt,1,1,NA,NTC
NA,1,7/13/22,CUT-IN-005,cutt,1,1,NA,NTC+IPC
1.00E+05,NA,7/13/22,CUT-IN-005,cutt,1,NA,NA,St1
10000,NA,7/13/22,CUT-IN-005,cutt,1,NA,NA,St2
1000,NA,7/13/22,CUT-IN-005,cutt,1,NA,NA,St3
100,NA,7/13/22,CUT-IN-005,cutt,1,NA,NA,St4
10,NA,7/13/22,CUT-IN-005,cutt,1,NA,NA,St5
5,NA,7/13/22,CUT-IN-005,cutt,1,NA,NA,St6
3,NA,7/13/22,CUT-IN-005,cutt,1,NA,NA,St7
1,NA,7/13/22,CUT-IN-005,cutt,1,NA,NA,St8
NA,1,7/13/22,CUT-IN-006,cutt,1,1,NA,0721.3Chk.Dn.3
NA,1,7/13/22,CUT-IN-006,cutt,1,1,NA,0721.3Chk.Up.1
NA,1,7/13/22,CUT-IN-006,cutt,1,1,NA,0721.3Chk.Up.2
NA,1,7/13/22,CUT-IN-006,cutt,1,1,NA,0721.3Chk.Up.3
NA,1,7/13/22,CUT-IN-006,cutt,0,1,use lower stddev in CUT-IN-023,0721.5Sqm.Dn.1
NA,1,7/13/22,CUT-IN-006,cutt,0,1,use new dilution in CUT-IN-026,0721.5Sqm.Dn.2
NA,1,7/13/22,CUT-IN-006,cutt,0,1,use new dilution in CUT-IN-028,0721.5Sqm.Dn.3
NA,1,7/13/22,CUT-IN-006,cutt,1,1,NA,0721.5Sqm.Up.1
NA,1,7/13/22,CUT-IN-006,cutt,1,1,NA,0721.5Sqm.Up.2
NA,1,7/13/22,CUT-IN-006,cutt,1,1,NA,0721.5Sqm.Up.3
NA,1,7/13/22,CUT-IN-006,cutt,0,1,use new dilution in CUT-IN-015A,0821.1Prt.Dn.1
NA,1,7/13/22,CUT-IN-006,cutt,0,1,use new dilution in CUT-IN-015A,0821.1Prt.Dn.2
NA,1,7/13/22,CUT-IN-006,cutt,0,1,use new dilution in CUT-IN-015A,0821.1Prt.Dn.3
NA,10,7/13/22,CUT-IN-006,cutt,0,1,use new dilution in CUT-IN-026,0821.1Prt.Up.1
NA,10,7/13/22,CUT-IN-006,cutt,0,1,use new dilution in CUT-IN-015A,0821.1Prt.Up.2
NA,10,7/13/22,CUT-IN-006,cutt,0,1,use new dilution in CUT-IN-015A,0821.1Prt.Up.3
NA,1,7/13/22,CUT-IN-006,cutt,1,1,NA,0821.2Brn.Dn.1
NA,1,7/13/22,CUT-IN-006,cutt,1,1,NA,0821.2Brn.Dn.2
NA,1,7/13/22,CUT-IN-006,cutt,1,1,NA,0821.2Brn.Dn.3
NA,1,7/13/22,CUT-IN-006,cutt,1,1,NA,0821.2Brn.Up.1
NA,1,7/13/22,CUT-IN-006,cutt,0,1,use new dilution in CUT-IN-026,0821.2Brn.Up.2
NA,1,7/13/22,CUT-IN-006,cutt,1,1,NA,0821.2Brn.Up.3
NA,1,7/13/22,CUT-IN-006,cutt,1,NA,NA,NTC
NA,1,7/13/22,CUT-IN-006,cutt,1,NA,NA,NTC+IPC
1.00E+05,NA,7/13/22,CUT-IN-006,cutt,1,NA,NA,St1
10000,NA,7/13/22,CUT-IN-006,cutt,1,NA,NA,St2
1000,NA,7/13/22,CUT-IN-006,cutt,1,NA,NA,St3
100,NA,7/13/22,CUT-IN-006,cutt,1,NA,NA,St4
10,NA,7/13/22,CUT-IN-006,cutt,1,NA,NA,St5
5,NA,7/13/22,CUT-IN-006,cutt,1,NA,NA,St6
3,NA,7/13/22,CUT-IN-006,cutt,1,NA,NA,St7
1,NA,7/13/22,CUT-IN-006,cutt,1,NA,NA,St8
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0821.3Chk.Dn.1
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0821.3Chk.Dn.2
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0821.3Chk.Dn.3
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0821.3Chk.Up.1
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0821.3Chk.Up.2
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0821.3Chk.Up.3
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0821.5Sqm.Dn.1
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0821.5Sqm.Dn.2
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0821.5Sqm.Dn.3
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0821.5Sqm.Up.1
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0821.5Sqm.Up.2
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0821.5Sqm.Up.3
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0921.1Prt.Dn.1
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0921.1Prt.Dn.2
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0921.1Prt.Dn.3
NA,10,7/13/22,CUT-IN-007,cutt,0,1,NA,0921.1Prt.Up.1
NA,10,7/13/22,CUT-IN-007,cutt,0,1,NA,0921.1Prt.Up.2
NA,10,7/13/22,CUT-IN-007,cutt,0,1,NA,0921.1Prt.Up.3
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0921.2Brn.Dn.1
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0921.2Brn.Dn.2
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0921.2Brn.Dn.3
NA,1,7/13/22,CUT-IN-007,cutt,0,1,NA,0921.2Brn.Up.1
NA,1,7/13/22,CUT-IN-007,cutt,0,NA,NA,NTC
