Serial Number,W30401034,,,,,,,,,
5/10/21 22:47,116,1.99,3.79,1.2,256.41,0.08,48.799919,-122.404117,101.1,3.5
5/10/21 22:47,118,2.03,3.22,1.2,252.37,0.08,48.799918,-122.404114,102.6,3.5
5/10/21 22:47,120,2.07,4.14,1.2,267.56,0.07,48.79992,-122.404117,103.3,3.5
5/10/21 22:47,122,2.11,4.81,1.2,279.52,0.07,48.799916,-122.40412,105,5.2
5/10/21 22:47,124,2.15,4.81,1.2,301.89,0.06,48.799912,-122.404119,106.7,5.2
5/10/21 22:47,126,2.19,3.54,1.2,336.98,0.06,48.799906,-122.404114,110,5.2
5/10/21 22:47,128,2.23,3.37,1.2,367.65,0.06,48.799902,-122.404112,111.5,5.2
5/10/21 22:47,130,2.27,4.25,1.2,449.94,0.04,48.799898,-122.40411,112.6,5.2
5/10/21 22:47,132,2.31,3.95,1.2,504.41,0.04,48.799894,-122.404112,113,3.5
5/10/21 22:47,134,2.35,3.89,1.2,542.01,0.04,48.799889,-122.404113,113.5,3.5
5/10/21 22:47,136,2.39,4.68,1.2,471.7,0.04,48.799886,-122.404116,113.5,3.5
5/10/21 22:47,138,2.43,3.82,1.21,472.84,0.04,48.799883,-122.40412,113.2,3.5
5/10/21 22:47,140,2.47,3.79,1.2,355.24,0.08,48.799876,-122.40413,112.9,3.5
5/10/21 22:47,142,2.51,4.3,1.2,234.6,0.09,48.799872,-122.404135,112.7,3.5
5/10/21 22:47,144,2.55,3.72,1.2,226.63,0.09,48.799868,-122.40414,112.5,3.5
5/10/21 22:47,146,2.59,5.01,1.2,233.37,0.09,48.799862,-122.404148,112.6,3.5
5/10/21 22:47,148,2.63,4.42,1.21,235.73,0.08,48.799853,-122.404164,111.6,3.5
5/10/21 22:47,150,2.67,3.85,1.2,233.92,0.09,48.799849,-122.404175,110.6,3.5
5/10/21 22:47,152,2.71,4.67,1.2,226.37,0.09,48.799847,-122.404185,109.6,4.2
5/10/21 22:47,154,2.75,4.4,1.2,198.51,0.1,48.799849,-122.404184,109,4.2
5/10/21 22:47,156,2.79,4.03,1.2,205.23,0.09,48.799852,-122.404183,108.4,4.2
5/10/21 22:47,158,2.83,3.46,1.2,205.97,0.1,48.799855,-122.404178,107.8,4.2
5/10/21 22:47,160,2.87,4.5,1.2,249.07,0.05,48.799858,-122.404174,107,4.2
5/10/21 22:47,162,2.91,4.69,1.2,394.87,0.05,48.799863,-122.404166,106.5,4.5
5/10/21 22:47,164,2.95,4.07,1.2,398.41,0.05,48.79987,-122.404155,105.7,4.5
5/10/21 22:47,166,2.99,4.15,1.2,369,0.06,48.799876,-122.404146,104.8,4.5
5/10/21 22:48,168,3.03,4.42,1.2,343.94,0.06,48.799882,-122.404134,104.2,4.5
5/10/21 22:48,170,3.07,4.24,1.2,336.42,0.07,48.799886,-122.404126,103.6,4.5
5/10/21 22:48,172,3.11,5.05,1.2,294.33,0.07,48.79989,-122.404114,103.3,4.5
5/10/21 22:48,174,3.15,4.62,1.2,323.36,0.07,48.799897,-122.404101,103,4.5
5/10/21 22:48,176,3.19,4.3,1.2,264.55,0.08,48.799902,-122.404092,102.6,4.5
5/10/21 22:48,178,3.23,4.95,1.2,245.85,0.09,48.799906,-122.404084,102.1,4.5
5/10/21 22:48,180,3.27,3.66,1.2,230.28,0.09,48.79991,-122.404077,101.8,4.5
5/10/21 22:48,182,3.31,4.24,1.21,228.78,0.08,48.799911,-122.404069,102,4.5
5/10/21 22:48,184,3.35,3.7,1.2,233.92,0.09,48.799911,-122.404062,102.2,4.5
5/10/21 22:48,186,3.39,4.73,1.2,235.43,0.08,48.799912,-122.404058,102.3,4.5
5/10/21 22:48,188,3.43,4.12,1.2,239.52,0.08,48.799911,-122.404056,102.1,4.5
5/10/21 22:48,190,3.47,4.61,1.2,243.46,0.07,48.799909,-122.404056,102,4.5
5/10/21 22:48,192,3.51,5.15,1.2,281.89,0.07,48.799906,-122.404055,101.7,4.5
5/10/21 22:48,194,3.55,4.15,1.2,315.96,0.06,48.799905,-122.404055,101.5,4.5
5/10/21 22:48,196,3.59,4.48,1.2,425.08,0.04,48.799903,-122.404057,101.5,4.5
5/10/21 22:48,198,3.63,5.17,1.2,486.62,0.04,48.799901,-122.404059,101.4,4.5
5/10/21 22:48,200,3.67,4.01,1.2,540.54,0.04,48.799899,-122.404063,100.9,4.5
5/10/21 22:48,202,3.71,4.14,1.2,559.44,0.04,48.799897,-122.404066,100.6,4.5
5/10/21 22:48,204,3.75,5.25,1.2,547.2,0.04,48.799894,-122.404071,100.3,4.5
5/10/21 22:48,206,3.79,4.87,1.2,610.69,0.03,48.799892,-122.404076,100.4,4.5
5/10/21 22:48,208,3.83,3.97,1.2,663.35,0.03,48.799889,-122.404077,101.1,4.5
5/10/21 22:48,210,3.87,3.88,1.2,673.4,0.03,48.799887,-122.404074,102.2,4.5
5/10/21 22:48,212,3.91,5.28,1.2,761.9,0.03,48.799885,-122.404072,103.3,4.5
5/10/21 22:48,214,3.95,4.96,1.2,728.6,0.03,48.799883,-122.404068,104.8,4.5
5/10/21 22:48,216,3.99,4.4,1.2,672.27,0.03,48.799883,-122.404064,106.2,4.5
5/10/21 22:48,218,4.03,4.53,1.2,674.54,0.03,48.799883,-122.404059,107.2,4.5
5/10/21 22:48,220,4.07,4.49,1.2,666.67,0.03,48.799884,-122.404058,108.1,4.5
5/10/21 22:48,222,4.11,3.87,1.2,670.02,0.03,48.799886,-122.404057,108.7,4.5
5/10/21 22:48,224,4.15,4.77,1.2,714.29,0.03,48.799888,-122.404055,109.6,4.5
5/10/21 22:48,226,4.19,4.36,1.2,546.45,0.04,48.799891,-122.404057,110.4,4.5
5/10/21 22:49,228,4.23,4.05,1.2,448.43,0.05,48.799893,-122.404056,111.1,4.5
5/10/21 22:49,230,4.27,4.43,1.2,417.1,0.05,48.799895,-122.404054,111.6,4.5
5/10/21 22:49,232,4.31,5.07,1.2,359.71,0.06,48.799896,-122.40405,112.6,3.6
5/10/21 22:49,234,4.35,4.02,1.2,286.33,0.07,48.799898,-122.40405,113.8,3.6
5/10/21 22:49,236,4.39,4.19,1.2,280.11,0.08,48.799896,-122.404042,115.2,3.6
5/10/21 22:49,238,4.43,4.14,1.2,261.44,0.08,48.799897,-122.404039,116.3,3.6
5/10/21 22:49,240,4.47,4.01,1.2,208.12,0.11,48.799894,-122.404046,117.6,3.6
5/10/21 22:49,242,4.51,5.56,1.2,135.78,0.17,48.799888,-122.404057,118.5,25
5/10/21 22:49,244,4.55,5.59,1.2,98.91,0.25,48.799879,-122.404072,119.5,25
5/10/21 22:49,246,4.59,5.51,1.2,80.69,0.24,48.799881,-122.404058,120.3,25
5/10/21 22:49,248,4.63,5.03,1.2,83.33,0.24,48.79988,-122.404053,121.2,25
5/10/21 22:49,250,4.67,4.33,1.2,84.35,0.24,48.799881,-122.404045,121.2,25
5/10/21 22:49,252,4.71,4.3,1.2,85.02,0.23,48.799881,-122.404034,121.2,3.6
5/10/21 22:49,254,4.75,4.81,1.2,90.64,0.22,48.799881,-122.404021,120.9,3.6
5/10/21 22:49,256,4.79,5.61,1.2,91.1,0.22,48.799882,-122.404008,120,3.6
5/10/21 22:49,258,4.83,4.2,1.2,92.36,0.22,48.799884,-122.403999,119.9,3.6
5/10/21 22:49,260,4.87,4.74,1.2,100.81,0.18,48.799885,-122.403994,120.1,3.6
5/10/21 22:49,262,4.91,5.14,1.2,134.68,0.13,48.799886,-122.403987,119.1,3.6
5/10/21 22:49,264,4.95,4.36,1.2,205.23,0.04,48.799888,-122.403982,118.5,3.6
5/10/21 22:49,266,4.99,5.43,1.2,460.83,0.05,48.799887,-122.403976,118.6,3.6
5/10/21 22:49,268,5.03,4.43,1.2,403.23,0.05,48.799888,-122.403973,118,3.6
5/10/21 22:49,270,5.07,4.47,1.2,389.86,0.05,48.799887,-122.403971,117.2,3.6
5/10/21 22:49,272,5.11,4.4,1.2,415.37,0.05,48.799885,-122.403972,116.6,3.6
5/10/21 22:49,274,5.15,5.74,1.2,424.63,0.05,48.799882,-122.403974,115.7,3.6
5/10/21 22:49,276,5.19,4.46,1.2,352.42,0.06,48.79988,-122.403982,114.9,3.6
5/10/21 22:49,278,5.23,5.74,1.2,351.19,0.06,48.799877,-122.403987,114.1,3.6
5/10/21 22:49,280,5.27,4.62,1.2,355.56,0.06,48.799874,-122.403993,112.7,3.6
5/10/21 22:49,282,5.31,4.81,1.2,358.74,0.05,48.799869,-122.403997,111.6,4.6
5/10/21 22:49,284,5.35,4.54,1.2,382.78,0.06,48.799865,-122.404,111.5,4.6
5/10/21 22:49,286,5.39,4.98,1.2,341.3,0.05,48.799861,-122.404007,110.8,4.6
5/10/21 22:50,288,5.43,4.6,1.2,319.23,0.07,48.79986,-122.404018,109.9,4.6
5/10/21 22:50,290,5.47,4.76,1.2,276.43,0.07,48.799858,-122.404028,109.2,4.6
5/10/21 22:50,292,5.51,5.25,1.2,280.7,0.07,48.79986,-122.40404,107.5,4.6
5/10/21 22:50,294,5.55,4.86,1.2,283.29,0.07,48.799862,-122.404048,106.5,4.6
5/10/21 22:50,296,5.59,4.58,1.2,338.12,0.06,48.799863,-122.404057,105.2,4.6
5/10/21 22:50,298,5.63,5,1.2,341.59,0.06,48.799865,-122.404063,104.1,4.6
5/10/21 22:50,300,5.67,5.09,1.2,356.82,0.06,48.799867,-122.404066,104.1,4.6
5/10/21 22:50,302,5.71,1.98,1.21,322.67,0.07,48.799869,-122.404064,104.4,3.6
5/10/21 22:50,304,5.75,2.68,1.21,271.06,0.1,48.799863,-122.404063,105,3.6
5/10/21 22:50,306,5.79,2.21,1.2,209.53,0.1,48.79986,-122.40405,108.3,3.6
5/10/21 22:50,308,5.83,3.56,1.2,231.21,0.08,48.799858,-122.404033,111.5,3.6
5/10/21 22:50,310,5.87,5.34,1.18,258.09,0.08,48.799859,-122.404024,113.7,3.6
5/10/21 22:50,312,5.91,6.76,1.18,235.67,0.09,48.799859,-122.404021,115.4,5.9
5/10/21 22:50,314,5.95,5.47,1.14,201.38,0.1,48.799861,-122.404021,115.8,5.9
5/10/21 22:50,316,5.98,5.51,0.85,139.09,0.1,48.799861,-122.404014,115.4,5.9
5/10/21 22:50,318,6.01,4.18,0.99,159.96,0.1,48.79986,-122.404007,114.4,5.9
5/10/21 22:50,320,6.04,3.84,0.93,143.39,0.11,48.799859,-122.404004,112.8,5.9
5/10/21 22:50,322,6.05,4.08,0.43,67.87,0.1,48.79986,-122.404001,111.2,3.6
5/10/21 22:50,324,6.05,3.97,0.21,34.97,0.07,48.799861,-122.403992,110.8,3.6
5/10/21 22:50,326,6.05,3.96,0.1,21.59,0.09,48.799863,-122.403986,109.9,3.6
5/10/21 22:50,328,6.05,3.81,0.04,6.69,0.1,48.799865,-122.403981,109,3.6
5/10/21 22:50,330,6.05,3.73,0.04,5.87,0.12,48.79987,-122.403974,107.8,3.6
5/10/21 22:50,332,6.05,3.65,0.02,2.76,0.12,48.799873,-122.403974,106.4,3.7
5/10/21 22:50,334,6.05,3.64,0.01,1.35,0.12,48.799875,-122.403977,105.4,3.7
5/10/21 22:50,336,6.05,3.67,0,0,0.12,48.799874,-122.403986,104,3.7
5/10/21 22:50,338,6.05,3.65,0,0,0.12,48.799874,-122.403988,105,3.7
5/10/21 22:50,340,6.05,3.69,0,0,0.11,48.799876,-122.403995,104.5,3.7
5/10/21 22:50,342,6.05,3.61,0,0,0.11,48.799878,-122.403999,104.3,3.7
5/10/21 22:50,344,6.05,3.64,0,0,0.11,48.799881,-122.403998,104.5,3.7
5/10/21 22:50,346,6.05,3.59,0,0,0.09,48.799883,-122.404,104.1,3.7
5/11/21 2:12,12423,6.05,-0.19,0,0,0.02,47.691512,-122.362359,73.2,250
5/11/21 2:12,12425,6.05,0.09,0,0,0.02,47.691512,-122.36236,73.5,250
5/11/21 2:12,12427,6.05,0.04,0,0,0.02,47.691511,-122.362362,73.9,250
5/11/21 2:12,12429,6.05,0.93,0,0,0.02,47.691509,-122.362364,73.8,250
5/11/21 2:12,12431,6.05,2.92,0,0,0.02,47.691508,-122.362364,73.9,250
5/11/21 2:12,12433,6.08,3.92,0.65,570.18,0.02,47.691507,-122.362364,74,250
5/11/21 2:12,12435,6.14,3.2,1.39,924.82,0.03,47.691508,-122.362362,74.1,250
5/11/21 2:12,12437,6.18,1.71,1.34,886.24,0.03,47.691511,-122.362354,75.1,250
5/11/21 2:12,12439,6.23,2.01,1.33,810.48,0.03,47.691511,-122.362356,75.8,250
5/11/21 2:12,12441,6.27,1.25,1.3,792.2,0.03,47.691509,-122.362357,76.1,250
5/11/21 2:12,12443,6.31,0.61,1.31,833.33,0.03,47.691508,-122.362357,76.3,250
5/11/21 2:12,12445,6.36,0.85,1.29,830.12,0.03,47.691507,-122.362356,76.4,250
5/11/21 2:12,12447,6.4,1.3,1.3,785.02,0.03,47.691507,-122.362356,76.7,250
5/11/21 2:12,12449,6.44,2.17,1.3,789.31,0.03,47.691507,-122.362357,77.2,250
5/11/21 2:12,12451,6.49,2.68,1.3,772.43,0.03,47.691508,-122.362357,77.5,250
5/11/21 2:12,12453,6.53,2.53,1.29,773.38,0.03,47.691508,-122.362357,77.9,250
5/11/21 2:12,12455,6.58,1.91,1.3,918.08,0.02,47.691509,-122.362357,78.3,250
5/11/21 2:12,12457,6.62,2.6,1.29,975.06,0.02,47.691509,-122.362358,78.8,250
5/11/21 2:12,12459,6.66,0.66,1.3,999,0.02,47.691509,-122.362359,79.3,250
5/11/21 2:12,12461,6.7,1.42,1.3,999,0.02,47.69151,-122.362359,79.6,250
5/11/21 2:12,12463,6.75,0.89,1.3,999,0.02,47.691512,-122.362359,80.1,250
5/11/21 2:12,12465,6.79,1.39,1.3,999,0.02,47.691512,-122.36236,80.5,250
5/11/21 2:12,12467,6.83,2.3,1.3,952.38,0.02,47.691513,-122.362359,80.7,250
5/11/21 2:13,12469,6.88,1.45,1.3,942.03,0.02,47.691515,-122.362359,80.9,250
5/11/21 2:13,12471,6.92,1.42,1.3,910.36,0.02,47.691516,-122.362359,81.5,250
5/11/21 2:13,12473,6.96,3,1.3,916.14,0.02,47.691517,-122.362358,81.8,250
5/11/21 2:13,12475,7.01,2.56,1.3,975.98,0.02,47.691517,-122.362358,82,250
5/11/21 2:13,12477,7.05,1.52,1.3,891.63,0.02,47.691517,-122.362357,82.2,250
5/11/21 2:13,12479,7.1,2.84,1.3,884.35,0.02,47.691517,-122.362356,82.3,250
5/11/21 2:13,12481,7.14,2.81,1.3,999,0.02,47.691517,-122.362356,82.7,250
5/11/21 2:13,12483,7.18,1.66,1.3,954.48,0.02,47.691516,-122.362355,82.8,250
5/11/21 2:13,12485,7.23,2.48,1.3,958.7,0.02,47.691516,-122.362353,82.9,250
5/11/21 2:13,12487,7.27,2.79,1.3,886.16,0.03,47.691516,-122.362352,83.1,250
5/11/21 2:13,12489,7.31,1.75,1.31,866.4,0.02,47.691516,-122.362352,83.2,250
5/11/21 2:13,12491,7.36,1.86,1.3,900.9,0.02,47.691516,-122.362351,83.4,250
5/11/21 2:13,12493,7.4,2.07,1.31,836.53,0.03,47.691516,-122.36235,83.4,250
5/11/21 2:13,12495,7.44,2.27,1.3,765.61,0.03,47.691516,-122.36235,83.7,250
5/11/21 2:13,12497,7.49,2.17,1.3,688.92,0.03,47.691516,-122.36235,83.8,250
5/11/21 2:13,12499,7.53,2.34,1.3,672.88,0.03,47.69152,-122.36235,84.7,250
5/11/21 2:13,12501,7.57,1.85,1.3,651.63,0.03,47.691521,-122.362349,84.9,3.7
5/11/21 2:13,12503,7.62,2.47,1.3,645.8,0.03,47.691522,-122.362347,85.2,3.7
5/11/21 2:13,12505,7.66,2.62,1.3,657.56,0.03,47.691523,-122.362347,85.7,3.7
5/11/21 2:13,12507,7.7,2.31,1.3,768.32,0.03,47.691524,-122.362346,86,3.7
5/11/21 2:13,12509,7.75,1.85,1.3,783.6,0.03,47.691525,-122.362344,86.1,3.7
5/11/21 2:13,12511,7.79,2.34,1.3,728.29,0.03,47.691525,-122.362343,86.8,4.3
5/11/21 2:13,12513,7.83,2.37,1.3,725.85,0.03,47.691525,-122.362341,87.3,4.3
5/11/21 2:13,12515,7.88,2.16,1.3,697.8,0.03,47.691524,-122.362339,87.9,4.3
5/11/21 2:13,12517,7.92,1.92,1.3,816.07,0.03,47.691524,-122.362336,88.5,4.3
5/11/21 2:13,12519,7.96,2.18,1.3,802.47,0.03,47.691522,-122.362334,89,4.3
5/11/21 2:13,12521,8.01,2.31,1.3,790.75,0.03,47.691521,-122.362332,89.5,4.1
5/11/21 2:13,12523,8.05,1.85,1.3,864.94,0.03,47.69152,-122.36233,90,4.1
5/11/21 2:13,12525,8.09,2.3,1.3,792.2,0.03,47.691518,-122.362325,90.5,4.1
5/11/21 2:13,12527,8.14,1.81,1.3,733.22,0.03,47.691517,-122.362322,90.7,4.1
5/11/21 2:14,12529,8.18,2.09,1.3,758.9,0.03,47.691515,-122.362319,90.9,4.1
5/11/21 2:14,12531,8.22,1.95,1.3,798.04,0.03,47.691513,-122.362316,91.4,3.1
5/11/21 2:14,12533,8.27,2.08,1.3,782.19,0.03,47.69151,-122.362313,91.8,3.1
5/11/21 2:14,12535,8.31,2.18,1.3,889.8,0.02,47.691507,-122.362311,91.8,3.1
5/11/21 2:14,12537,8.35,2.24,1.3,895.32,0.02,47.691505,-122.362309,91.7,3.1
5/11/21 2:14,12539,8.4,2.34,1.3,897.17,0.02,47.691504,-122.362308,91.7,3.1
5/11/21 2:14,12541,8.44,2.19,1.3,946.14,0.02,47.691502,-122.362308,91.8,3.1
5/11/21 2:14,12543,8.48,1.99,1.3,839.79,0.03,47.691501,-122.362309,92.1,3.1
5/11/21 2:14,12545,8.53,2.12,1.3,671.83,0.03,47.691499,-122.362307,92.7,3.1
5/11/21 2:14,12547,8.57,2.07,1.3,624.4,0.03,47.691498,-122.362306,92.5,3.1
5/11/21 2:14,12549,8.61,2.22,1.3,618.16,0.04,47.691497,-122.362306,92.4,3.1
5/11/21 2:14,12551,8.66,2.6,1.3,609.47,0.04,47.691496,-122.362305,91.9,3.1
5/11/21 2:14,12553,8.7,2.36,1.3,600.18,0.04,47.691496,-122.362304,92,3.1
5/11/21 2:14,12555,8.74,2.28,1.3,558.42,0.04,47.691496,-122.362305,92.1,3.1
5/11/21 2:14,12557,8.79,2.25,1.3,516.49,0.04,47.691497,-122.362304,92.4,3.1
5/11/21 2:14,12559,8.83,2.27,1.3,498.66,0.04,47.691498,-122.362305,92.7,3.1
5/11/21 2:14,12561,8.87,2.33,1.3,490.75,0.04,47.691499,-122.362306,93.1,3.2
5/11/21 2:14,12563,8.92,2.21,1.3,509.8,0.04,47.691501,-122.362307,93.3,3.2
5/11/21 2:14,12565,8.96,2.35,1.3,628.02,0.03,47.691503,-122.362308,93.3,3.2
5/11/21 2:14,12567,9,1.81,1.3,695.56,0.03,47.691504,-122.362309,93.4,3.2
5/11/21 2:14,12569,9.05,2.02,1.3,670.79,0.03,47.691506,-122.36231,93.3,3.2
5/11/21 2:14,12571,9.09,2.48,1.31,688.75,0.03,47.691507,-122.362311,93.2,3.2
5/11/21 2:14,12573,9.13,2.41,1.3,691.12,0.03,47.691509,-122.362309,93.2,3.2
5/11/21 2:14,12575,9.18,2.29,1.3,749.71,0.03,47.691512,-122.362308,93.1,3.2
5/11/21 2:14,12577,9.22,2.53,1.3,771.06,0.02,47.691514,-122.362309,92.9,3.2
5/11/21 2:14,12579,9.26,2.42,1.3,849.67,0.03,47.691517,-122.362311,92.5,3.2
5/11/21 2:14,12581,9.31,2.34,1.3,738.22,0.03,47.691519,-122.362311,92.4,3.2
5/11/21 2:14,12583,9.35,2.44,1.3,698.92,0.03,47.691522,-122.362311,92.8,3.2
5/11/21 2:14,12585,9.39,2.28,1.3,677.08,0.03,47.691525,-122.362309,93,3.2
5/11/21 2:14,12587,9.44,2.24,1.3,633.53,0.03,47.691527,-122.362309,93.1,3.2
5/11/21 2:15,12589,9.48,2.34,1.3,611.19,0.04,47.69153,-122.362309,93.5,3.2
5/11/21 2:15,12591,9.52,2.28,1.3,588.77,0.04,47.691533,-122.362309,93.7,3.2
5/11/21 2:15,12593,9.57,1.95,1.3,591.99,0.04,47.691535,-122.362309,94,3.2
5/11/21 2:15,12595,9.61,1.85,1.3,573.95,0.04,47.691536,-122.362308,94.2,3.2
5/11/21 2:15,12597,9.65,2.41,1.3,611.19,0.04,47.691538,-122.362307,94.3,3.2
5/11/21 2:15,12599,9.7,2.28,1.3,549.22,0.04,47.691539,-122.362306,94.5,3.2
5/11/21 2:15,12601,9.74,2.13,1.3,619.05,0.03,47.69154,-122.362305,94.7,3.2
5/11/21 2:15,12603,9.79,2.14,1.3,644.84,0.03,47.691541,-122.362303,94.9,3.2
5/11/21 2:15,12605,9.83,2.29,1.3,655.57,0.03,47.691541,-122.3623,95,3.2
5/11/21 2:15,12607,9.87,2,1.3,641.03,0.03,47.691542,-122.362299,94.7,3.2
5/11/21 2:15,12609,9.91,2.24,1.3,636.32,0.03,47.691542,-122.362297,94.7,3.2
5/11/21 2:15,12611,9.96,2.6,1.3,676.03,0.03,47.691541,-122.362296,94.8,3.2
5/11/21 2:15,12613,10,2.38,1.3,733.22,0.03,47.69154,-122.362297,95,3.2
5/11/21 2:15,12615,10.04,2.59,1.3,745.84,0.03,47.69154,-122.362297,94.1,3.2
