Sample,Adj_Vol,DateStamp
0621.3Chk.Up.1,2.026666667,2021-06-11 19:26:24 UTC
0621.3Chk.Up.2,2.026666667,2021-06-11 19:26:24 UTC
0621.3Chk.Up.3,2.026666667,2021-06-11 19:26:24 UTC
0621.4Pad.Dn.1,2.023333333,2021-06-11 21:05:21 UTC
0621.4Pad.Dn.2,2.023333333,2021-06-11 21:05:21 UTC
0621.4Pad.Dn.3,2.023333333,2021-06-11 21:05:21 UTC
0621.4Pad.Up11.1,2.006666667,2021-06-11 21:20:33 UTC
0621.4Pad.Up11.2,2.006666667,2021-06-11 21:20:33 UTC
0621.4Pad.Up11.3,2.006666667,2021-06-11 21:20:33 UTC
0621.4Pad.Up5.1,2.016666667,2021-06-11 21:46:27 UTC
0621.4Pad.Up5.2,2.016666667,2021-06-11 21:46:27 UTC
0621.4Pad.Up5.3,2.016666667,2021-06-11 21:46:27 UTC
0621.5Sqm.Dn.1,2.023333333,2021-06-11 22:52:29 UTC
0621.5Sqm.Dn.2,2.023333333,2021-06-11 22:52:29 UTC
0621.5Sqm.Dn.3,2.023333333,2021-06-11 22:52:29 UTC
0621.5Sqm.Up.1,2.006666667,2021-06-11 23:05:12 UTC
0621.5Sqm.Up.2,2.006666667,2021-06-11 23:05:12 UTC
0621.5Sqm.Up.3,2.006666667,2021-06-11 23:05:12 UTC
0721.1Prt.Dn.1,2.02,2021-07-12 16:22:23 UTC
0721.1Prt.Dn.2,2.02,2021-07-12 16:22:23 UTC
0721.1Prt.Dn.3,2.02,2021-07-12 16:22:23 UTC
0721.1Prt.Up.1,2.013333333,2021-07-12 16:41:11 UTC
0721.1Prt.Up.2,2.013333333,2021-07-12 16:41:11 UTC
0721.1Prt.Up.3,2.013333333,2021-07-12 16:41:11 UTC
0721.2Brn.Dn.1,2.04,2021-07-12 17:46:46 UTC
0721.2Brn.Dn.2,2.04,2021-07-12 17:46:46 UTC
0721.2Brn.Dn.3,2.04,2021-07-12 17:46:46 UTC
0721.2Brn.Up.1,2.016666667,2021-07-12 18:07:04 UTC
0721.2Brn.Up.2,2.016666667,2021-07-12 18:07:04 UTC
0721.2Brn.Up.3,2.016666667,2021-07-12 18:07:04 UTC
0721.3Chk.Dn.1,2.03,2021-07-12 18:37:21 UTC
0721.3Chk.Dn.2,2.03,2021-07-12 18:37:21 UTC
0721.3Chk.Dn.3,2.03,2021-07-12 18:37:21 UTC
0721.3Chk.Up.1,2.033333333,2021-07-12 18:54:06 UTC
0721.3Chk.Up.2,2.033333333,2021-07-12 18:54:06 UTC
0721.3Chk.Up.3,2.033333333,2021-07-12 18:54:06 UTC
0721.4Pad.Dn.1,2.01,2021-07-12 20:08:04 UTC
0721.4Pad.Dn.2,2.01,2021-07-12 20:08:04 UTC
0721.4Pad.Dn.3,2.01,2021-07-12 20:08:04 UTC
0721.4Pad.Up11.1,2.023333333,2021-07-12 20:21:28 UTC
0721.4Pad.Up11.2,2.023333333,2021-07-12 20:21:28 UTC
0721.4Pad.Up11.3,2.023333333,2021-07-12 20:21:28 UTC
0721.4Pad.Up5.1,2.013333333,2021-07-12 20:48:01 UTC
0721.4Pad.Up5.2,2.013333333,2021-07-12 20:48:01 UTC
0721.4Pad.Up5.3,2.013333333,2021-07-12 20:48:01 UTC
0721.5Sqm.Dn.1,1.55,2021-07-12 21:27:12 UTC
0721.5Sqm.Dn.2,1.55,2021-07-12 21:27:12 UTC
0721.5Sqm.Dn.3,1.55,2021-07-12 21:27:12 UTC
0721.5Sqm.Up.1,2.01,2021-07-12 21:43:29 UTC
0721.5Sqm.Up.2,2.01,2021-07-12 21:43:29 UTC
0721.5Sqm.Up.3,2.01,2021-07-12 21:43:29 UTC
0821.1Prt.Dn.1,2.023333333,2021-08-11 16:11:59 UTC
0821.1Prt.Dn.2,2.023333333,2021-08-11 16:11:59 UTC
0821.1Prt.Dn.3,2.023333333,2021-08-11 16:11:59 UTC
0821.1Prt.Up.1,2.013333333,2021-08-11 16:36:02 UTC
0821.1Prt.Up.2,2.013333333,2021-08-11 16:36:02 UTC
0821.1Prt.Up.3,2.013333333,2021-08-11 16:36:02 UTC
0821.2Brn.Dn.1,2.02,2021-08-11 17:42:27 UTC
0821.2Brn.Dn.2,2.02,2021-08-11 17:42:27 UTC
0821.2Brn.Dn.3,2.02,2021-08-11 17:42:27 UTC
0821.2Brn.Up.1,2.01,2021-08-11 18:03:11 UTC
0821.2Brn.Up.2,2.01,2021-08-11 18:03:11 UTC
0821.2Brn.Up.3,2.01,2021-08-11 18:03:11 UTC
0821.3Chk.Dn.1,2.003333333,2021-08-11 18:34:00 UTC
0821.3Chk.Dn.2,2.003333333,2021-08-11 18:34:00 UTC
0821.3Chk.Dn.3,2.003333333,2021-08-11 18:34:00 UTC
0821.3Chk.Up.1,1.986666667,2021-08-11 18:46:20 UTC
0821.3Chk.Up.2,1.986666667,2021-08-11 18:46:20 UTC
0821.3Chk.Up.3,1.986666667,2021-08-11 18:46:20 UTC
0821.4Pad.Dn.1,2.01,2021-08-11 20:03:54 UTC
0821.4Pad.Dn.2,2.01,2021-08-11 20:03:54 UTC
0821.4Pad.Dn.3,2.01,2021-08-11 20:03:54 UTC
0821.4Pad.Up11.1,2,2021-08-11 20:17:13 UTC
0821.4Pad.Up11.2,2,2021-08-11 20:17:13 UTC
0821.4Pad.Up11.3,2,2021-08-11 20:17:13 UTC
0821.4Pad.Up5.1,2.026666667,2021-08-11 20:39:42 UTC
0821.4Pad.Up5.2,2.026666667,2021-08-11 20:39:42 UTC
0821.4Pad.Up5.3,2.026666667,2021-08-11 20:39:42 UTC
0821.5Sqm.Dn.1,1.513333333,2021-08-11 21:12:30 UTC
0821.5Sqm.Dn.2,1.513333333,2021-08-11 21:12:30 UTC
0821.5Sqm.Dn.3,1.513333333,2021-08-11 21:12:30 UTC
0821.5Sqm.Up.1,2.006666667,2021-08-11 21:25:39 UTC
0821.5Sqm.Up.2,2.006666667,2021-08-11 21:25:39 UTC
0821.5Sqm.Up.3,2.006666667,2021-08-11 21:25:39 UTC
0921.1Prt.Dn.1,2.03,2021-09-10 16:08:45 UTC
0921.1Prt.Dn.2,2.03,2021-09-10 16:08:45 UTC
0921.1Prt.Dn.3,2.03,2021-09-10 16:08:45 UTC
0921.1Prt.Up.1,2.02,2021-09-10 16:28:01 UTC
0921.1Prt.Up.2,2.02,2021-09-10 16:28:01 UTC
0921.1Prt.Up.3,2.02,2021-09-10 16:28:01 UTC
0921.2Brn.Dn.1,2.023333333,2021-09-10 17:30:26 UTC
0921.2Brn.Dn.2,2.023333333,2021-09-10 17:30:26 UTC
0921.2Brn.Dn.3,2.023333333,2021-09-10 17:30:26 UTC
0921.2Brn.Up.1,2.023333333,2021-09-10 17:50:23 UTC
0921.2Brn.Up.2,2.023333333,2021-09-10 17:50:23 UTC
0921.2Brn.Up.3,2.023333333,2021-09-10 17:50:23 UTC
0921.3Chk.Dn.1,2.02,2021-09-10 18:23:39 UTC
0921.3Chk.Dn.2,2.02,2021-09-10 18:23:39 UTC
0921.3Chk.Dn.3,2.02,2021-09-10 18:23:39 UTC
0921.3Chk.Up.1,2.016666667,2021-09-10 18:36:59 UTC
0921.3Chk.Up.2,2.016666667,2021-09-10 18:36:59 UTC
0921.3Chk.Up.3,2.016666667,2021-09-10 18:36:59 UTC
0921.4Pad.Dn.1,2.036666667,2021-09-10 20:12:50 UTC
0921.4Pad.Dn.2,2.036666667,2021-09-10 20:12:50 UTC
0921.4Pad.Dn.3,2.036666667,2021-09-10 20:12:50 UTC
0921.4Pad.Up11.1,2.033333333,2021-09-10 20:26:41 UTC
0921.4Pad.Up11.2,2.033333333,2021-09-10 20:26:41 UTC
0921.4Pad.Up11.3,2.033333333,2021-09-10 20:26:41 UTC
0921.4Pad.Up5.1,2.02,2021-09-10 20:52:33 UTC
0921.4Pad.Up5.2,2.02,2021-09-10 20:52:33 UTC
0921.4Pad.Up5.3,2.02,2021-09-10 20:52:33 UTC
0921.5Sqm.Dn.1,1.77,2021-09-10 21:30:56 UTC
0921.5Sqm.Dn.2,1.77,2021-09-10 21:30:56 UTC
0921.5Sqm.Dn.3,1.77,2021-09-10 21:30:56 UTC
0921.5Sqm.Up.1,0,NA
0921.5Sqm.Up.2,0,NA
0921.5Sqm.Up.3,0,NA
1021.1Prt.Dn.1,2.02,2021-10-12 16:10:02 UTC
1021.1Prt.Dn.2,2.02,2021-10-12 16:10:02 UTC
1021.1Prt.Dn.3,2.02,2021-10-12 16:10:02 UTC
1021.1Prt.Up.1,2.02,2021-10-12 16:27:56 UTC
1021.1Prt.Up.2,2.02,2021-10-12 16:27:56 UTC
1021.1Prt.Up.3,2.02,2021-10-12 16:27:56 UTC
1021.2Brn.Dn.1,2.023333333,2021-10-12 17:24:08 UTC
1021.2Brn.Dn.2,2.023333333,2021-10-12 17:24:08 UTC
1021.2Brn.Dn.3,2.023333333,2021-10-12 17:24:08 UTC
1021.2Brn.Up.1,2.026666667,2021-10-12 17:43:09 UTC
1021.2Brn.Up.2,2.026666667,2021-10-12 17:43:09 UTC
1021.2Brn.Up.3,2.026666667,2021-10-12 17:43:09 UTC
1021.3Chk.Dn.1,2.023333333,2021-10-12 18:17:50 UTC
1021.3Chk.Dn.2,2.023333333,2021-10-12 18:17:50 UTC
1021.3Chk.Dn.3,2.023333333,2021-10-12 18:17:50 UTC
1021.3Chk.Up.1,2.013333333,2021-10-12 18:31:22 UTC
1021.3Chk.Up.2,2.013333333,2021-10-12 18:31:22 UTC
1021.3Chk.Up.3,2.013333333,2021-10-12 18:31:22 UTC
1021.4Pad.Dn.1,2.006666667,2021-10-12 20:17:55 UTC
1021.4Pad.Dn.2,2.006666667,2021-10-12 20:17:55 UTC
1021.4Pad.Dn.3,2.006666667,2021-10-12 20:17:55 UTC
1021.4Pad.Up11.1,2.016666667,2021-10-12 20:32:35 UTC
1021.4Pad.Up11.2,2.016666667,2021-10-12 20:32:35 UTC
1021.4Pad.Up11.3,2.016666667,2021-10-12 20:32:35 UTC
1021.4Pad.Up5.1,2.023333333,2021-10-12 20:56:46 UTC
1021.4Pad.Up5.2,2.023333333,2021-10-12 20:56:46 UTC
1021.4Pad.Up5.3,2.023333333,2021-10-12 20:56:46 UTC
1021.5Sqm.Dn.1,2.02,2021-10-12 21:40:38 UTC
1021.5Sqm.Dn.2,2.02,2021-10-12 21:40:38 UTC
1021.5Sqm.Dn.3,2.02,2021-10-12 21:40:38 UTC
1021.5Sqm.Up.1,2.013333333,2021-10-12 21:53:14 UTC
1021.5Sqm.Up.2,2.013333333,2021-10-12 21:53:14 UTC
1021.5Sqm.Up.3,2.013333333,2021-10-12 21:53:14 UTC
1121.1Prt.Dn.1,2.03,2021-11-10 17:13:29 UTC
1121.1Prt.Dn.2,2.03,2021-11-10 17:13:29 UTC
1121.1Prt.Dn.3,2.03,2021-11-10 17:13:29 UTC
1121.1Prt.Up.1,2.02,2021-11-10 17:31:49 UTC
1121.1Prt.Up.2,2.02,2021-11-10 17:31:49 UTC
1121.1Prt.Up.3,2.02,2021-11-10 17:31:49 UTC
1121.2Brn.Dn.1,2,2021-11-10 18:35:58 UTC
1121.2Brn.Dn.2,2,2021-11-10 18:35:58 UTC
1121.2Brn.Dn.3,2,2021-11-10 18:35:58 UTC
1121.2Brn.Up.1,2.023333333,2021-11-10 18:55:33 UTC
1121.2Brn.Up.2,2.023333333,2021-11-10 18:55:33 UTC
1121.2Brn.Up.3,2.023333333,2021-11-10 18:55:33 UTC
1121.3Chk.Dn.1,2.023333333,2021-11-10 19:30:34 UTC
1121.3Chk.Dn.2,2.023333333,2021-11-10 19:30:34 UTC
1121.3Chk.Dn.3,2.023333333,2021-11-10 19:30:34 UTC
1121.3Chk.Up.1,2.01,2021-11-10 19:49:11 UTC
1121.3Chk.Up.2,2.01,2021-11-10 19:49:11 UTC
1121.3Chk.Up.3,2.01,2021-11-10 19:49:11 UTC
1121.4Pad.Dn.1,1.186666667,2021-11-10 21:14:49 UTC
1121.4Pad.Dn.2,1.186666667,2021-11-10 21:14:49 UTC
1121.4Pad.Dn.3,1.186666667,2021-11-10 21:14:49 UTC
1121.4Pad.Up11.1,1.076666667,2021-11-10 21:31:46 UTC
1121.4Pad.Up11.2,1.076666667,2021-11-10 21:31:46 UTC
1121.4Pad.Up11.3,1.076666667,2021-11-10 21:31:46 UTC
1121.4Pad.Up5.1,1.233333333,2021-11-10 21:57:33 UTC
1121.4Pad.Up5.2,1.233333333,2021-11-10 21:57:33 UTC
1121.4Pad.Up5.3,1.233333333,2021-11-10 21:57:33 UTC
1121.5Sqm.Dn.1,2.013333333,2021-11-10 22:37:08 UTC
1121.5Sqm.Dn.2,2.013333333,2021-11-10 22:37:08 UTC
1121.5Sqm.Dn.3,2.013333333,2021-11-10 22:37:08 UTC
1121.5Sqm.Up.1,2.03,2021-11-10 22:52:25 UTC
1121.5Sqm.Up.2,2.03,2021-11-10 22:52:25 UTC
1121.5Sqm.Up.3,2.03,2021-11-10 22:52:25 UTC
1221.1Prt.Dn.1,2.026666667,2021-12-10 17:06:55 UTC
1221.1Prt.Dn.2,2.026666667,2021-12-10 17:06:55 UTC
1221.1Prt.Dn.3,2.026666667,2021-12-10 17:06:55 UTC
1221.1Prt.Up.1,2.03,2021-12-10 17:24:50 UTC
1221.1Prt.Up.2,2.03,2021-12-10 17:24:50 UTC
1221.1Prt.Up.3,2.03,2021-12-10 17:24:50 UTC
1221.2Brn.Dn.1,2.056666667,2021-12-10 18:22:17 UTC
1221.2Brn.Dn.2,2.056666667,2021-12-10 18:22:17 UTC
1221.2Brn.Dn.3,2.056666667,2021-12-10 18:22:17 UTC
1221.2Brn.Up.1,2.02,2021-12-10 18:42:49 UTC
1221.2Brn.Up.2,2.02,2021-12-10 18:42:49 UTC
1221.2Brn.Up.3,2.02,2021-12-10 18:42:49 UTC
1221.3Chk.Dn.1,1.296666667,2021-12-10 19:12:07 UTC
1221.3Chk.Dn.2,1.296666667,2021-12-10 19:12:07 UTC
1221.3Chk.Dn.3,1.296666667,2021-12-10 19:12:07 UTC
1221.3Chk.Up.1,1.703333333,2021-12-10 19:43:56 UTC
1221.3Chk.Up.2,1.703333333,2021-12-10 19:43:56 UTC
1221.3Chk.Up.3,1.703333333,2021-12-10 19:43:56 UTC
1221.4Pad.Dn.1,2.036666667,2021-12-10 21:09:11 UTC
1221.4Pad.Dn.2,2.036666667,2021-12-10 21:09:11 UTC
1221.4Pad.Dn.3,2.036666667,2021-12-10 21:09:11 UTC
1221.4Pad.Up11.1,2.016666667,2021-12-10 21:31:58 UTC
1221.4Pad.Up11.2,2.016666667,2021-12-10 21:31:58 UTC
1221.4Pad.Up11.3,2.016666667,2021-12-10 21:31:58 UTC
