"Plate","Ct","dilution","Adj_Vol","Sample"
7,35.6470069885254,10,2.03,"0921.1Prt.Dn.1"
7,28.1474838256836,1,1.986666667,"0821.3Chk.Up.3"
7,27.5836219787598,1,1.986666667,"0821.3Chk.Up.3"
7,27.5097599029541,1,1.986666667,"0821.3Chk.Up.3"
7,36.7620620727539,10,2.03,"0921.1Prt.Dn.2"
7,36.4342384338379,10,2.03,"0921.1Prt.Dn.2"
7,36.1884002685547,10,2.03,"0921.1Prt.Dn.2"
7,34.9275054931641,10,2.03,"0921.1Prt.Dn.3"
7,34.6021270751953,10,2.03,"0921.1Prt.Dn.3"
7,35.2440643310547,10,2.03,"0921.1Prt.Dn.3"
7,33.7224884033203,10,2.02,"0921.1Prt.Up.1"
7,33.6287956237793,10,2.02,"0921.1Prt.Up.1"
7,33.6721343994141,10,2.02,"0921.1Prt.Up.1"
8,36.4144248962402,100,1.77,"0921.5Sqm.Dn.1"
8,36.2044486999512,100,1.77,"0921.5Sqm.Dn.1"
8,36.9192771911621,100,1.77,"0921.5Sqm.Dn.1"
8,38.2685050964355,10,2.02,"1021.1Prt.Up.3"
8,37.1824493408203,10,2.02,"1021.1Prt.Up.3"
8,37.6441650390625,10,2.02,"1021.1Prt.Up.3"
8,34.9718704223633,100,1.77,"0921.5Sqm.Dn.2"
8,35.1621589660645,100,1.77,"0921.5Sqm.Dn.2"
8,34.9841613769531,100,1.77,"0921.5Sqm.Dn.2"
8,34.898063659668,1,2.023333333,"1021.2Brn.Dn.1"
8,36.3166961669922,1,2.023333333,"1021.2Brn.Dn.1"
8,35.8758926391602,1,2.023333333,"1021.2Brn.Dn.1"
8,29.7486972808838,1,2.02,"0921.3Chk.Dn.1"
8,29.5035610198975,1,2.02,"0921.3Chk.Dn.1"
8,29.6633129119873,1,2.02,"0921.3Chk.Dn.1"
8,37.5949630737305,100,1.77,"0921.5Sqm.Dn.3"
8,36.7273330688477,100,1.77,"0921.5Sqm.Dn.3"
8,37.3055152893066,100,1.77,"0921.5Sqm.Dn.3"
8,33.7605667114258,1,2.023333333,"1021.2Brn.Dn.2"
8,33.6159324645996,1,2.023333333,"1021.2Brn.Dn.2"
8,33.5162811279297,1,2.023333333,"1021.2Brn.Dn.2"
8,31.8192462921143,1,2.02,"0921.3Chk.Dn.2"
8,31.8004913330078,1,2.02,"0921.3Chk.Dn.2"
8,31.6523017883301,1,2.02,"0921.3Chk.Dn.2"
8,35.7979431152344,10,2.02,"1021.1Prt.Dn.1"
8,35.7061462402344,10,2.02,"1021.1Prt.Dn.1"
8,36.1808280944824,10,2.02,"1021.1Prt.Dn.1"
8,33.5443153381348,1,2.023333333,"1021.2Brn.Dn.3"
8,33.8510589599609,1,2.023333333,"1021.2Brn.Dn.3"
8,33.9864921569824,1,2.023333333,"1021.2Brn.Dn.3"
8,29.5959949493408,1,2.02,"0921.3Chk.Dn.3"
8,29.5321578979492,1,2.02,"0921.3Chk.Dn.3"
8,29.5445251464844,1,2.02,"0921.3Chk.Dn.3"
8,34.6877822875977,1,2.02,"1021.1Prt.Dn.2"
8,33.8218116760254,1,2.02,"1021.1Prt.Dn.2"
8,34.324291229248,1,2.02,"1021.1Prt.Dn.2"
8,26.9383449554443,1,2.016666667,"0921.3Chk.Up.1"
8,26.7811050415039,1,2.016666667,"0921.3Chk.Up.1"
8,27.0245838165283,1,2.016666667,"0921.3Chk.Up.1"
8,37.8237686157227,10,2.02,"1021.1Prt.Dn.3"
8,35.4759559631348,10,2.02,"1021.1Prt.Dn.3"
8,36.2548751831055,10,2.02,"1021.1Prt.Dn.3"
8,27.1769027709961,1,2.016666667,"0921.3Chk.Up.2"
8,26.9881458282471,1,2.016666667,"0921.3Chk.Up.2"
8,27.1314754486084,1,2.016666667,"0921.3Chk.Up.2"
8,35.1646575927734,10,2.02,"1021.1Prt.Up.1"
8,34.970157623291,10,2.02,"1021.1Prt.Up.1"
8,34.6969337463379,10,2.02,"1021.1Prt.Up.1"
8,36.4056549072266,10,2.02,"1021.1Prt.Up.2"
8,35.7135162353516,10,2.02,"1021.1Prt.Up.2"
