"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu_samp[8,2]",0.0273330734211552,7.03478094091769e-05,0.00363440163875963,0.0209162045539086,0.0247467503014553,0.0271593097762375,0.0296961745280802,0.0350471854067146,2669.09900055451,0.999689087291801
"mu_samp[8,3]",1.6648784788827e-05,1.27836412037385e-06,6.30854019654234e-05,5.76442812871686e-10,6.44387593507204e-08,6.50381955719975e-07,5.61367602686697e-06,0.000169477833095664,2435.27832575077,1.00025054924378
"mu_samp[9,1]",0.975693271540712,2.15909341183166e-05,0.00117882301617395,0.973338503130105,0.974909600194901,0.97569024232274,0.976485997602844,0.977976608926739,2980.94764862829,0.999418362396144
"mu_samp[9,2]",0.0243021569295048,2.1587378075864e-05,0.00117909262614936,0.0220226385926258,0.0235080369069214,0.0243040428380313,0.0250866785837822,0.0266607606711728,2983.29397694891,0.999411274460626
"mu_samp[9,3]",4.57152978366194e-06,2.78353286732875e-07,1.47391621575387e-05,6.29498387074667e-10,4.13947132475495e-08,3.502660703176e-07,2.79046630629571e-06,3.92812926797818e-05,2803.83779980472,0.99993164332896
"mu_samp[10,1]",0.545999322966866,0.000104650518244495,0.00527727219044394,0.53558499209208,0.542417195043195,0.545996682937656,0.549550380977623,0.556359395315116,2542.94064118881,0.999416990177753
"mu_samp[10,2]",0.433185852335268,0.000107440838837361,0.00527635699239015,0.422744686985868,0.429626787628657,0.433116320554238,0.436686460843608,0.443360618756003,2411.73487016386,0.999291117033209
"mu_samp[10,3]",0.020814824697866,2.93228190317302e-05,0.00152080932752272,0.0179643883834935,0.0197526531005292,0.0207575297118533,0.0218286326024392,0.0238606999581873,2689.9121390584,0.999406621120902
"mu_samp[11,1]",0.999954459551098,1.59710940113506e-06,8.875393922786e-05,0.999687964024553,0.9999523792389,0.999990337402939,0.999999106360394,0.999999998122322,3088.2037308683,1.00070392853676
"mu_samp[11,2]",4.39138755847356e-05,1.57204760661706e-06,8.66316991814082e-05,1.16873684774891e-09,7.29746730176589e-07,8.65023020458468e-06,4.49420712532365e-05,0.000303570597983133,3036.84256459448,1.00073067467314
"mu_samp[11,3]",1.62657331780304e-06,2.4643378068861e-07,1.33587064701964e-05,2.21454889811801e-12,6.06413879822388e-10,8.94555409555792e-09,1.28311608753501e-07,1.11415100403049e-05,2938.51786067321,0.999262715987642
"mu_samp[12,1]",0.907796163121208,3.34269269483405e-05,0.00181612948643665,0.904135536034403,0.906593639592915,0.907764595304615,0.909020265000998,0.911377595271975,2951.89370407628,0.999524210982664
"mu_samp[12,2]",0.0921996581796109,3.34407901927585e-05,0.00181652441650094,0.0886223837395994,0.0909797201025655,0.0922327442963066,0.0934042690867251,0.0958644561505301,2950.72962704015,0.999529128415379
"mu_samp[12,3]",4.17869918090194e-06,1.98473515848583e-07,1.0960790543177e-05,9.61974362180358e-10,5.9406571345052e-08,4.64834544901834e-07,3.16248831198416e-06,3.1771837426733e-05,3049.85106081422,0.999813636571777
"mu_samp[13,1]",0.99998861337557,3.95553954571832e-07,2.29896574286974e-05,0.999922944549988,0.999987770777723,0.999997671375763,0.999999778967014,0.999999999309156,3377.95249895424,1.00010324703095
"mu_samp[13,2]",1.09530870696397e-05,3.90525499537717e-07,2.2559432425346e-05,5.09893340419502e-10,1.61700221904368e-07,2.00503709581006e-06,1.15898587280794e-05,7.55844837532876e-05,3337.01028203753,1.00008614351821
"mu_samp[13,3]",4.33537360500052e-07,5.48029019354395e-08,2.852655788063e-06,2.14817563401345e-12,3.28294682529581e-10,4.52338394154474e-09,5.98168275923739e-08,3.33092472011166e-06,2709.51544275462,0.999172086656936
"mu_samp[14,1]",0.982228310082741,2.56432063804312e-05,0.00133240181203986,0.979483266694004,0.981379749138852,0.98226767195019,0.983131084774432,0.984763740057059,2699.76382637949,1.00013498557936
"mu_samp[14,2]",0.0177661632114061,2.56232128766829e-05,0.00133211089170919,0.0152190325798469,0.0168655451668175,0.0177213697837532,0.0186094162194182,0.0205071152607097,2702.79800101637,1.0001425967954
"mu_samp[14,3]",5.52670585266775e-06,2.94063468567908e-07,1.64055600134156e-05,5.45712023553594e-10,3.57121091168971e-08,4.16018898838021e-07,2.94082451637518e-06,4.76170733094739e-05,3112.43269388181,0.999469981437954
"mu_samp[15,1]",0.999990134903775,3.46689619409027e-07,1.84918407083403e-05,0.999933647762458,0.999989537691761,0.999997827585524,0.999999790958559,0.99999999922886,2844.97602583534,0.999263646460289
"mu_samp[15,2]",9.42507080889329e-06,3.41148960995795e-07,1.8103215926566e-05,3.17818632643266e-10,1.7370798812649e-07,1.98525372047872e-06,9.78160438285407e-06,6.455216669135e-05,2815.93974201854,0.999182020782726
