"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"int_samp_small[4,3]",0.714982301993602,0.0003419778487992,0.00681902568321102,0.701625501387346,0.710435958028447,0.715128429120061,0.719590748150092,0.728201556779345,397.602128095561,1.00376516832238
"int_samp_small[5,1]",0.220868469735677,0.000287911224972469,0.00530431512760382,0.210949682128963,0.217272490981926,0.220770417791883,0.224331067850904,0.231422463796741,339.42313490624,1.00462684923445
"int_samp_small[5,2]",2.11826589992486e-06,4.76377955651813e-08,2.91405989341932e-06,8.42774319770292e-09,2.30688715622098e-07,9.8442571716996e-07,2.86995655947929e-06,1.01093096943901e-05,3741.9125591643,1.00080745539682
"int_samp_small[5,3]",0.779129411998423,0.000287917769403708,0.00530439549589644,0.768576323424989,0.775665714335796,0.779225592837064,0.782727107792821,0.789050144337651,339.417989908352,1.00462776286545
"int_samp_small[6,1]",0.27483606011494,0.000327351226932543,0.00653214704692719,0.262165026585581,0.270649629341018,0.274718659424525,0.279181850806856,0.287874513717578,398.184141477745,1.00437307714163
"int_samp_small[6,2]",9.270647108936e-06,2.19039422787454e-07,1.30728896049774e-05,1.79179587283843e-08,9.90836084610015e-07,4.31176770605989e-06,1.23081247619292e-05,4.66202132758265e-05,3562.03854640213,0.999583700283586
"int_samp_small[6,3]",0.725154669237951,0.000327339596025934,0.00653252698079772,0.712124022347481,0.720814092825272,0.72527090672755,0.729337926265165,0.737828717094492,398.258762605135,1.00436717132498
"int_samp_small[7,1]",0.268626062051677,0.000326592466911617,0.00607180111938469,0.257273512764616,0.264492894499589,0.268660868089034,0.272632328403278,0.280588373014135,345.639007488831,1.00441410240912
"int_samp_small[7,2]",2.93501568341573e-06,6.99946308261686e-08,4.33254176934126e-06,7.99582917005717e-09,3.04584734943565e-07,1.28087261347394e-06,3.70848180782956e-06,1.58465181530439e-05,3831.38736051039,0.999728755630638
"int_samp_small[7,3]",0.73137100293264,0.000326586600673792,0.00607180293646741,0.719411505963944,0.72736753138109,0.731335809243921,0.735502080930491,0.742724270261032,345.651631408447,1.00441252368262
"int_samp_small[8,1]",0.172209135884188,0.000234481135943017,0.00607929063209114,0.160892794287726,0.168019113068969,0.171973056791119,0.176269038957369,0.184508278258994,672.186821303706,1.00252084713598
"int_samp_small[8,2]",3.99685041190516e-05,1.13980026422778e-06,6.78018435091021e-05,4.36311383345665e-08,2.63737815887534e-06,1.3648205953603e-05,4.65532816071636e-05,0.000241472299075382,3538.55131556003,0.999736104220447
"int_samp_small[8,3]",0.827750895611693,0.000234506904224901,0.00607901311376697,0.815401338140058,0.823628524182739,0.827991610037017,0.831950275250869,0.839063364577174,671.977750357771,1.00252771637733
"int_samp_small[9,1]",0.12531970299216,0.000186223740130549,0.00405939447896064,0.117256762928014,0.122616873402384,0.125290003219674,0.128062802993192,0.133191202948304,475.173731293589,1.00350529384438
