"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu_samp[4,2]",4.62795581523809e-07,3.23723835951799e-08,1.73475313242031e-06,2.80057143448589e-13,2.61900348707649e-10,6.43846549355971e-09,1.3253654067401e-07,4.8210914735441e-06,2871.61362264756,0.999841520866882
"mu_samp[4,3]",0.264299210615795,2.32491400258227e-05,0.00123594704797302,0.261911750261964,0.263449348748689,0.264256574838733,0.265109684577495,0.266765636920528,2826.08970329419,1.00004872600945
"mu_samp[4,4]",1.89564253870739e-06,5.77469398570687e-08,3.21371072685187e-06,3.28707970423651e-09,1.34423726277647e-07,6.19252861490054e-07,2.28205822789202e-06,1.12176729920647e-05,3097.10275805522,0.999117672300433
"mu_samp[5,1]",0.999993246941882,3.3115926797668e-07,1.73830073475625e-05,0.999944872148419,0.999995151632004,0.999999409123492,0.999999964286611,0.999999999947671,2755.34509213185,1.00004019273355
"mu_samp[5,2]",9.66422011619777e-07,1.39822949357313e-07,6.90168829183933e-06,7.38649081254448e-16,4.79937903401681e-12,3.67785142356053e-10,1.93718581882805e-08,8.50453429729223e-06,2436.42902418509,1.0000343760589
"mu_samp[5,3]",4.77273984315713e-06,2.60246128714322e-07,1.40510051264416e-05,2.41320812720164e-12,6.21934337352952e-09,2.00399865804777e-07,2.56924291610554e-06,4.28526418397245e-05,2915.05147895827,1.00048536308595
"mu_samp[5,4]",1.01389626333378e-06,1.03826712881289e-07,5.83438195697251e-06,2.52558413797672e-12,6.17890953618436e-10,1.06594020228378e-08,1.3449379853022e-07,9.78146238969395e-06,3157.70464341182,0.999704002459726
"mu_samp[6,1]",0.68074065764983,0.000153991805338318,0.0084916523178982,0.664487594344609,0.674807585739689,0.680794018720329,0.68654019395787,0.696697172775094,3040.80931658684,0.999214144752419
"mu_samp[6,2]",0.319141125028455,0.000153713124160555,0.00848457973647987,0.303043196176271,0.313272962750868,0.319108956490043,0.325053502232723,0.335344835291412,3046.76369428877,0.999220939013231
"mu_samp[6,3]",6.5397815167902e-05,2.67178520425748e-06,0.000139521099609966,4.02500760703238e-09,1.17011685558184e-06,1.21963202243912e-05,6.35762264380986e-05,0.000466968493189444,2726.94701638078,0.999539823654088
"mu_samp[6,4]",5.28195065465147e-05,1.8382804605293e-06,0.000111077622167682,4.65664039212488e-08,2.1507081478618e-06,1.1692767980893e-05,5.00913575381273e-05,0.000359961562272422,3651.14942055887,0.999206213409575
"mu_samp[7,1]",0.99996372047919,1.80269826412394e-06,9.93954482386465e-05,0.999680756967734,0.999979213907226,0.999998123608021,0.999999896334505,0.999999999814921,3040.09329873953,0.999465683677498
"mu_samp[7,2]",3.97846211216708e-06,5.9593593638478e-07,3.27214304157616e-05,2.15141587860181e-15,1.63239166447516e-11,9.89038586254555e-10,5.80001979678472e-08,2.98083156668571e-05,3014.84792749419,0.999201808458803
"mu_samp[7,3]",2.94718615163015e-05,1.64025874482682e-06,8.99830458005432e-05,1.09542348994596e-11,2.41768712084882e-08,6.98862486526348e-07,1.15540822858254e-05,0.000293629000649994,3009.51598933089,0.999676206549861
"mu_samp[7,4]",2.82919718118392e-06,2.95722896241309e-07,1.52476075472299e-05,5.90573600198044e-12,1.33189871821063e-09,2.45811451355888e-08,3.72435126842765e-07,2.64673834257131e-05,2658.48068129723,1.00064515161812
